TDWG_name,TDWG_code,TDWG_L2,TDWG_continent,Country,Plants,Ants,Amphibians,Reptiles,Fish,Birds,Mammals,Spiders,GeodAREA,mainl,COASTAL,DistMainl,popdens2000,GDPpcRegion,bio_1_MEAN,bio_12_MEAN,LAT,LON,mean_110_plants,completeness_ants,mean_110_amphs,mean_110_mammals,mean_110_birds
Alberta,71_ABT_OO,71,America_N,Canada,360,NA,NA,NA,6,4,8,4,654935.7148,MAINL,0,NA,4.595950804,49837,3.259668268,450.8046195,55.2010092,-114.4701947,22.33142241,100,66.1816738,11.4212778,68.00193669
Afghanistan,34_AFG_OO,34,Asia_Temp,Afghanistan,NA,2,NA,NA,13,0,3,NA,641916.446,MAINL,0,NA,37.09699561,561.2,116.2251804,312.9172119,33.83890296,66.02653864,14.46870106,87.5,4.326591934,5.429570782,1.991547273
Buenos_Aires,85_AGE_BA,85,America_S,Argentina,413,1,1,2,4,8,14,3,306185.5494,MAINL,1,NA,46.49577359,8458,150.3885113,810.9132973,-36.67974516,-60.55879053,13.06427109,100,44.71124971,22.64001927,13.1471891
Cordoba,85_AGE_CH,85,America_S,Argentina,60,NA,0,1,0,1,10,2,99206.86875,MAINL,0,NA,10.13606444,4259,218.4316989,937.1404883,-26.39787474,-60.75863616,9.72042143,100,19.46915884,14.33728653,3.781464336
Chaco,85_AGE_CN,85,America_S,Argentina,100,1,0,0,0,1,10,2,88614.15073,MAINL,0,NA,10.44098579,4467,207.1384337,1291.893573,-28.76462557,-57.79185251,42.03745057,86.5,21.94439073,10.16031447,25.9840135
Corrientes,85_AGE_CD,85,America_S,Argentina,195,1,1,0,4,1,11,2,167772.2859,MAINL,0,NA,18.64145262,9314.2,172.4920704,739.0012823,-32.09504217,-63.771565,10.96820704,72.5,27.60831821,14.7981182,14.37159022
Argentina_Distrito_Federal,85_AGE_DF,85,America_S,Argentina,101,NA,1,2,0,8,8,1,179.8676027,MAINL,1,NA,14691.56225,28358.07,167.7086614,1036.893701,-34.6178664,-58.44990504,NA,NA,61,3,24
Entre_Rios,85_AGE_ER,85,America_S,Argentina,199,1,0,0,1,1,10,NA,78071.66115,MAINL,0,NA,15.23295894,6187,182.0840917,1059.31227,-32.04369456,-59.20346947,36.78781572,72.5,39.07510316,32.47168845,36.85785076
Formosa,85_AGE_FO,85,America_S,Argentina,43,NA,0,0,0,1,9,1,76151.83672,MAINL,0,NA,6.49928736,3704,225.71936,934.4692529,-24.90209428,-59.93084066,20.085685,87.1,25.61834832,29.08859043,14.66293418
La_Pampa,85_AGE_LP,85,America_S,Argentina,177,NA,0,0,4,1,11,NA,142702.8999,MAINL,0,NA,2.135750949,10875,152.3654758,448.1096835,-37.13294383,-65.44555016,4.626143675,100,25.37196956,14.97514256,10.65443218
Misiones,85_AGE_MI,85,America_S,Argentina,78,1,1,1,0,2,8,4,30127.81537,MAINL,0,NA,33.81628055,4370.17,198.3498757,1721.617699,-26.86693413,-54.64789239,82.86867893,86.5,10.31435531,19.96760035,15.50542954
Santa_Fe,85_AGE_SF,85,America_S,Argentina,111,1,0,1,0,1,12,NA,133723.9573,MAINL,0,NA,22.88824727,NA,189.2358474,970.4917975,-30.69496137,-60.94508102,12.38068033,88.4,30.66494002,23.69275744,12.00001102
Chubut,85_AGS_CB,85,America_S,Argentina,165,NA,0,0,5,1,12,NA,221716.6516,MAINL,1,NA,1.870970694,16100,99.61283611,239.2092386,-43.79850246,-68.49107605,11.61194157,100,34.66129166,15.49438313,15.2270488
Neuquen,85_AGS_NE,85,America_S,Argentina,186,NA,0,0,4,7,15,NA,93585.46868,MAINL,0,NA,3.686918749,19853,102.2256938,431.471343,-38.64072006,-70.12494553,21.64044165,93.3,61.40322696,35.98238144,36.97146482
Rio_Negro,85_AGS_RN,85,America_S,Argentina,220,NA,0,0,5,3,13,2,202969.896,MAINL,1,NA,3.388051538,8349,120.5982947,268.6263646,-40.39982501,-67.23682833,10.16873543,94.1,30.6249859,12.92289476,19.74712441
Santa_Cruz,85_AGS_SC,85,America_S,Argentina,129,NA,0,0,4,1,12,NA,238779.053,MAINL,1,NA,0.760155346,26257.32,78.47137133,230.3743923,-48.79279354,-69.88964308,13.00540879,100,30.93832272,16.25400609,34.58685174
Tierra_del_Fuego_(Argentina),85_AGS_TF,85,America_S,Argentina,136,NA,NA,NA,3,2,12,NA,20890.53005,MAINL,1,NA,4.624491299,22277,47.05318637,445.5621149,-54.32992245,-67.42584236,13.5448705,100,NA,20.27765671,71.57197795
Catamarca,85_AGW_CA,85,America_S,Argentina,83,1,0,0,0,2,9,NA,99174.77482,MAINL,0,NA,3.323339345,14428,110.4231626,197.6597047,-27.28561,-66.99582679,14.42624186,93.3,20.50486235,19.84697812,7.412462361
Jujuy,85_AGW_JU,85,America_S,Argentina,103,NA,0,0,0,1,8,1,53038.87098,MAINL,0,NA,11.56658685,4709,101.337052,297.5858652,-23.31119001,-65.76752951,37.62126815,62.3,28.61960005,26.47900843,29.31881972
La_Rioja,85_AGW_LR,85,America_S,Argentina,68,1,0,0,0,2,9,1,91670.03637,MAINL,0,NA,3.179493837,5326,157.9441776,281.0451993,-29.67401779,-67.16850778,7.43426047,83.3,40.13982427,15.17086473,7.395463006
